date,tree,chlcont,fvfm,psipd,psimd,psidif,Group,position,canopy
9/29/2021,4,345,0.739,-1.41,-1.54,0.13,High Exposed,high,exposed
9/29/2021,5,205,0.669,-1.22,-1.71,0.49,High Exposed,high,exposed
9/29/2021,6,427,0.729,-1.12,-1.34,0.22,Low Closed Canopy,low,closed
9/29/2021,7,472,0.785,-0.91,-1.19,0.28,Low Closed Canopy,low,closed
9/29/2021,8,560,0.791,-0.8,-1.23,0.43,Low Closed Canopy,low,closed
9/29/2021,9,414,0.75,-0.95,-1.21,0.26,Low Closed Canopy,low,closed
9/29/2021,10,529,0.197,-1.29,-1.36,0.07,Low Closed Canopy,low,closed
9/29/2021,11,535,0.789,-1.33,-1.57,0.24,High Closed Canopy,high,closed
9/29/2021,12,262,0.794,-1.52,-1.69,0.17,High Closed Canopy,high,closed
9/29/2021,13,535,0.765,-1.51,-1.73,0.22,High Closed Canopy,high,closed
9/29/2021,14,338,0.763,-1.43,-1.71,0.28,High Closed Canopy,high,closed
9/29/2021,15,408,0.761,-1.51,-1.78,0.27,High Closed Canopy,high,closed
11/6/2021,1,231,0.72,-0.86,-0.75,-0.11,High Exposed,high,exposed
11/6/2021,2,224,0.732,-0.65,-0.72,0.07,High Exposed,high,exposed
11/6/2021,3,326,0.687,-0.8,-0.65,-0.15,High Exposed,high,exposed
11/6/2021,4,218,0.671,-0.78,-0.75,-0.03,High Exposed,high,exposed
11/6/2021,5,250,0.668,-0.78,-0.74,-0.04,High Exposed,high,exposed
11/6/2021,6,364,0.702,-0.89,-0.69,-0.2,Low Closed Canopy,low,closed
11/6/2021,7,269,0.796,-0.83,-0.62,-0.21,Low Closed Canopy,low,closed
11/6/2021,8,269,0.793,-0.69,-0.64,-0.05,Low Closed Canopy,low,closed
11/6/2021,9,402,0.739,-0.88,-0.67,-0.21,Low Closed Canopy,low,closed
11/6/2021,10,218,0.797,-0.78,-0.62,-0.16,Low Closed Canopy,low,closed
11/6/2021,11,243,0.784,-0.76,-0.61,-0.15,High Closed Canopy,high,closed
11/6/2021,12,288,0.806,-0.77,-0.78,0.01,High Closed Canopy,high,closed
11/6/2021,13,231,0.777,-0.79,-0.62,-0.17,High Closed Canopy,high,closed
11/6/2021,14,218,0.773,-0.63,-0.71,0.08,High Closed Canopy,high,closed
11/6/2021,15,250,0.75,-0.81,-0.81,0,High Closed Canopy,high,closed
