date,tree,wetm,drym,bagm,deltam,GWC,Group,position,canopy
8/7/2021,14,4.628,3.109,1.81,1.519,1.169361047,High Closed Canopy,high,closed
8/7/2021,15,4.453,2.853,1.789,1.6,1.503759398,High Closed Canopy,high,closed
8/30/2021,1,5.326,3.431,1.79,1.895,1.154783668,High Exposed,high,exposed
8/30/2021,2,7.328,4.214,1.82,3.114,1.30075188,High Exposed,high,exposed
8/30/2021,3,4.752,3.045,1.797,1.707,1.367788462,High Exposed,high,exposed
8/30/2021,4,5.199,3.367,1.782,1.832,1.155835962,High Exposed,high,exposed
8/30/2021,5,6.837,4.048,1.814,2.789,1.248433303,High Exposed,high,exposed
8/30/2021,6,4.393,2.904,1.839,1.489,1.398122066,Low Closed Canopy,low,closed
8/30/2021,7,3.033,2.287,1.793,0.746,1.510121457,Low Closed Canopy,low,closed
8/30/2021,8,4.066,2.709,1.772,1.357,1.448239061,Low Closed Canopy,low,closed
8/30/2021,9,2.911,2.293,1.784,0.618,1.214145383,Low Closed Canopy,low,closed
8/30/2021,10,2.846,2.176,1.753,0.67,1.58392435,Low Closed Canopy,low,closed
8/30/2021,11,5.039,3.303,1.802,1.736,1.156562292,High Closed Canopy,high,closed
8/30/2021,12,3.274,2.443,1.779,0.831,1.251506024,High Closed Canopy,high,closed
8/30/2021,13,4.746,3.131,1.784,1.615,1.198960653,High Closed Canopy,high,closed
8/30/2021,14,3.808,2.683,1.807,1.125,1.284246575,High Closed Canopy,high,closed
9/29/2021,1,2.341,2.824,1.782,1.299,1.246641075,High Exposed,high,exposed
9/29/2021,2,5.679,4.233,1.785,3.231,1.319852941,High Exposed,high,exposed
9/29/2021,3,1.373,2.364,1.779,0.788,1.347008547,High Exposed,high,exposed
9/29/2021,4,5.547,4.49,1.785,2.842,1.05064695,High Exposed,high,exposed
9/29/2021,5,5.205,4.132,1.799,2.872,1.231033005,High Exposed,high,exposed
9/29/2021,6,1.337,2.364,1.772,0.745,1.258445946,Low Closed Canopy,low,closed
9/29/2021,7,4.125,3.61,1.761,2.276,1.230935641,Low Closed Canopy,low,closed
9/29/2021,8,1.652,2.519,1.836,0.969,1.418740849,Low Closed Canopy,low,closed
9/29/2021,9,2.993,3.212,1.782,1.563,1.093006993,Low Closed Canopy,low,closed
9/29/2021,10,2.823,3.107,1.799,1.515,1.158256881,Low Closed Canopy,low,closed
9/29/2021,11,2.685,3.077,1.791,1.399,1.087869362,High Closed Canopy,high,closed
9/29/2021,12,4.687,4.125,1.78,2.342,0.998720682,High Closed Canopy,high,closed
9/29/2021,13,6.362,4.953,1.8,3.209,1.017760863,High Closed Canopy,high,closed
9/29/2021,14,3.379,3.454,1.823,1.748,1.071735132,High Closed Canopy,high,closed
9/29/2021,15,3.375,3.396,1.817,1.796,1.137428752,High Closed Canopy,high,closed
